originSize: 158823    uniqsize: 29003
SIP DIP  SP   DP    PROT     NUM: 

1879870023 3348419300  13326   443    6     2
2042424423 65980871  55166   443    6     23
1426648076 97516100  1229   80    6     14
3329429156 736949247  36975   22    6     2216
2705666267 2705665285  13782   927    6     20793
1314747550 3530299929  10379   7691    6     5
1139243341 3692795754  6674   23490    17     15
3489523737 66979037  52355   443    6     1
3327712508 3327712048  61576   32048    17     15
1956958551 16847397  21877   9339    6     1
2153050274 26880347  53951   9339    6     2
216812771 23907519  51309   80    6     1
3481958849 23111367  4624   443    6     1
2012801286 23111430  63245   443    6     538
666228596 66651069  21975   443    6     2
1117667627 3343877012  51131   8082    6     3
3525124958 1498238318  443   45047    6     3
2383870084 3526528113  50728   443    6     86
2015108412 2579574336  43324   443    6     7
3327712556 3327712048  60108   12486    17     15
3142346068 602983422  16199   443    6     45
1886288916 23111332  1647   443    6     6
1139242676 3692795768  24586   18658    17     15
3289111760 65970678  49356   443    6     5
2409356988 602983415  36824   443    6     2
2965616416 721986886  3888   443    6     5
2933588598 722847031  60980   443    6     16
2579601185 2579574756  80   34763    6     40
730555753 19261681  40586   9339    6     1
1431761187 1875764352  65488   8080    17     32
3700898266 24929725  48472   443    6     155
849266613 23111433  4190   80    6     4
2182449312 23489220  51126   443    6     7
3537698246 59070535  57931   443    6     9
2476397520 23125945  52277   443    6     3
1956958294 2310458190  38786   9339    6     1
2042057931 21034754  56651   80    6     1
2324468042 734962107  49373   80    6     8
2148716436 23111441  50130   443    6     26
3083152578 60263340  52173   443    6     10
2047473498 736910092  49429   443    6     1
1105139258 100425340  55672   18003    6     1
604258145 26499137  27900   9339    6     1
840687402 24057310  50907   443    6     547
730555776 21792296  50342   9339    6     2
1170308289 737993062  57174   80    6     10
3481816555 23111367  38184   443    6     73
730555790 16794434  57920   9339    6     2
2579599111 737992912  80   46034    6     44
3481845937 23111503  61722   443    6     286
3380183794 19772507  32992   443    6     5
3692055732 391463349  443   52290    6     3
2365823374 2300809654  15001   49348    6     2
2182489568 2310427055  57164   443    6     2
3335085855 3710835948  56509   80    6     294
1150132462 734962017  39075   443    6     1
1671310434 59061308  53835   8100    6     6
1812866403 23111341  10096   443    6     147
3711218633 2405664728  21039   57959    6     1
1124194931 1758552863  3074   34220    17     18
1671310356 19827676  60720   8100    6     2
1177169133 1093337043  1614   21217    6     76
3307090383 737097513  41458   443    6     3
1956959121 19060200  17872   9339    6     1
1246725282 3710835821  54656   80    6     5
3088415618 3547001406  80   38490    6     3
723113043 2579574381  39489   443    6     8
2595322063 2579609704  40904   3481    17     5
3344814123 3720603430  45304   20    6     88
1740593946 3518516386  55951   5090    17     16
2476397241 602983408  60600   443    6     3
3572114640 2452065674  63228   443    6     3
3379160299 23907000  56228   443    6     6
2296056597 3376305065  52560   80    6     3
1205172715 734964148  52194   443    6     4
3358061274 1760530380  39788   1774    17     4
2341638451 602983364  40183   443    6     5
60662764 100424718  53   49019    17     1
1876558467 1760528534  59696   6754    17     349
2012752627 23111494  37932   443    6     40
1883295393 23111494  13764   443    6     41
3328727728 1099824065  57698   443    17     3
2011705574 23111527  49337   443    6     127
3482857247 23111464  53951   443    6     55
2325922157 1758552809  5503   80    6     4
658046069 1758552958  3074   34260    17     18
666235329 19905353  6404   80    6     2
3481818434 23111367  61926   443    6     30
1807541267 1245181127  12298   1367    17     302
3713262662 3530315443  7509   80    6     3
3692777670 724248612  2001   2001    17     8
3483960962 2310415624  27749   443    6     8
3327711880 3327712113  44404   43650    17     15
3692777670 724248609  2001   2001    17     8
668499074 1875712472  55349   8888    17     1
1184898808 1875764463  7051   8080    17     1
1087443708 734962107  62489   80    6     97
730555796 16932734  64122   9339    6     1
730555770 24050628  25754   9339    6     2
3481834472 23111367  34122   443    6     152
2641434383 18879563  30267   80    6     18
3619443801 602983364  55220   443    6     3
1134317931 1875663494  21096   11954    17     15
3538865804 737145554  19622   443    6     3
1094951854 721999025  51073   443    6     1
1807541267 1245181127  8080   58807    17     302
1017297384 1760528506  49330   9026    6     2
3719172106 734972730  40674   443    6     4
1838352614 22738387  28160   9339    6     4
1224818605 2579574310  40418   443    6     145
1783899909 16851627  25688   9339    6     1
3562362170 21220813  21072   443    6     1
730555764 19325884  15641   9339    6     3
1864759731 59476391  53003   443    6     9
1276043892 23907823  50116   80    6     1
2153010212 65816966  63092   80    6     1
1671310357 26270610  44922   8100    6     8
2325620854 2579574644  36456   443    6     13
2726372260 19138772  57443   80    6     1
2324586101 100432184  50707   80    6     1
2012546863 23111430  57343   443    6     45
1814132838 23111430  19603   443    6     20
2604072954 721988737  13827   443    6     61
2153010613 1264157469  45255   443    6     4
3623954592 300601120  80   40745    6     1
2150465286 23111430  20551   443    6     69
1864759681 19844813  33397   80    6     2
730555806 2310507058  39468   9339    6     1
1166702312 1875712496  61693   8080    17     247
730555772 16881078  41343   9339    6     5
64676848 1807547713  44915   31280    6     1
3617879019 602983364  51520   443    6     47
2439262302 3326852230  34531   80    6     33
2325243939 59347442  26595   443    6     8
730555776 17038160  61447   9339    6     2
3481366731 23111664  12300   443    6     1
3489623037 21156925  50229   443    6     347
3327711880 3327712020  8214   58072    17     15
3481839357 23111367  8131   443    6     52
1739509381 2579609717  4925   443    6     91
731208276 2579592652  63648   80    6     6
1888987368 23115895  49771   80    6     30
23887026 23116197  48732   443    6     6
2277396049 602983415  39414   443    6     8
1158126229 2705660452  56302   123    17     1
730555821 23570923  8243   9339    6     1
23871993 26342553  24148   80    6     2
2637644361 23105652  60011   443    6     259
1745553308 100424890  57441   80    6     3
730555746 17807025  15224   9339    6     1
2988391359 23116437  49624   443    6     3
3575236332 23104686  17379   443    6     1
730555794 99651588  11017   9339    6     1
3384594645 23430238  4904   3478    6     1
730555766 16918200  14451   9339    6     2
3525124968 2579574608  443   48357    6     5
1113880981 3530304411  4271   80    6     3
2151198393 23111349  51908   443    6     150
1711741820 3710836022  62472   80    6     3
1864759799 21001247  62940   80    6     12
2007075946 3530312380  3590   443    6     3
233703954 23125709  42096   443    6     105
3481418633 23111494  16134   443    6     101
1193186288 731107021  50259   80    6     106
2153051105 66679132  22656   443    6     1
730555805 99665261  41413   9339    6     1
2412129558 1758552823  64887   7840    17     19
2218467350 3327712116  18496   26148    17     15
1098728245 2612429372  49505   80    6     1
3327712493 3327712113  30436   55918    17     15
2476397325 23907129  60968   443    6     1
384162948 721978123  19139   443    6     4
257157364 2579592652  42239   80    6     5
3483962116 3052811590  8665   55736    6     1
730555745 17804973  6875   9339    6     1
3594586976 59349549  40565   80    6     5
730555774 99651588  22686   9339    6     1
2593587305 3327463662  22571   80    6     11
3402455622 602983415  42609   443    6     13
2218467346 3327712049  12540   43356    17     15
2313531562 2579574364  44840   443    6     7
2153010295 66850148  34619   9001    6     1
1102477588 602983364  39019   443    6     18
2341638433 602983364  43731   443    6     3
3084416843 23107475  61554   80    6     2
1783899860 16920503  46988   9339    6     1
3483871830 23111478  31279   443    6     103
973977390 737993104  57876   443    6     7
1746879702 1711534799  443   54856    6     8
1176823170 3626675425  55211   53    6     2
1139241655 3692795744  10816   19848    17     15
3327712508 3327712048  31032   16104    17     15
204364000 66642829  49683   443    6     7
2344883035 1711325385  10784   36081    17     51
1171044651 734971969  63182   80    6     2
730555802 17765265  5313   9339    6     1
730555770 22100091  11316   9339    6     2
3347135713 24105186  3667   52011    6     12
1146560177 3703109387  39538   53    17     1
3597367062 3327712116  11000   35726    17     15
1510632646 1875764348  51451   8080    17     1
2455265169 1714176764  49229   3389    6     22
730555656 16962131  7788   9339    6     4
3481818302 23111367  18736   443    6     27
1812713388 23111642  39265   443    6     147
1695562467 3327463661  58508   80    6     12
2042557447 737133418  57726   443    6     3
3542209934 1093332305  51065   80    6     3
3327712493 3327712022  22716   41608    17     15
